distancia	duracion	Selected	Cluster	Silhouette
9681.0	1910.0	No	C2	
1190.0	529.0	No	C1	
4786.0	662.0	No	C1	
2171.0	640.0	No	C1	
2954.0	831.0	No	C1	
5985.0	1339.0	No	C2	
3319.0	894.0	No	C1	
2334.0	470.0	No	C1	
707.0	185.0	No	C1	
3319.0	644.0	No	C1	
5227.0	1330.0	No	C2	
4254.0	935.0	No	C1	
1890.0	274.0	No	C1	
3217.0	657.0	No	C1	
1169.0	532.0	No	C1	
1214.0	306.0	No	C1	
5660.0	1247.0	No	C2	
16185.0	1882.0	No	C2	
7707.0	1809.0	No	C2	
1678.0	456.0	No	C1	
4236.0	1157.0	No	C1	
1041.0	374.0	No	C1	
766.0	221.0	No	C1	
1564.0	435.0	No	C1	
3727.0	817.0	No	C1	
4375.0	968.0	No	C1	
3189.0	189.0	No	C1	
3187.0	1001.0	No	C1	
4207.0	940.0	No	C1	
1732.0	515.0	No	C1	
2231.0	612.0	No	C1	
6610.0	976.0	No	C2	
1418.0	516.0	No	C1	
8632.0	1622.0	No	C2	
2282.0	585.0	No	C1	
2736.0	754.0	No	C1	
3480.0	776.0	No	C1	
4760.0	809.0	No	C1	
5503.0	1033.0	No	C2	
1673.0	486.0	No	C1	
2518.0	711.0	No	C1	
2953.0	757.0	No	C1	
4982.0	1329.0	No	C2	
3793.0	1094.0	No	C1	
1866.0	605.0	No	C1	
6114.0	1664.0	No	C2	
5589.0	1308.0	No	C2	
3222.0	1218.0	No	C1	
5711.0	1517.0	No	C2	
3065.0	909.0	No	C1	
3011.0	696.0	No	C1	
8799.0	1931.0	No	C2	
4448.0	916.0	No	C1	
7947.0	1687.0	No	C2	
1624.0	550.0	No	C1	
7009.0	1458.0	No	C2	
1593.0	537.0	No	C1	
2894.0	910.0	No	C1	
7044.0	1346.0	No	C2	
4241.0	892.0	No	C1	
1072.0	386.0	No	C1	
3835.0	940.0	No	C1	
4173.0	1056.0	No	C1	
3166.0	745.0	No	C1	
3426.0	881.0	No	C1	
1035.0	383.0	No	C1	
6177.0	1473.0	No	C2	
1238.0	676.0	No	C1	
3401.0	718.0	No	C1	
2936.0	599.0	No	C1	
2621.0	743.0	No	C1	
4624.0	1159.0	No	C1	
